Main ID,Incident ID,Incident Type,Region of Incident,Website Date,Incident year,Reported Month,Number of Dead,Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause,Country of Origin,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping,Article title,Source Quality,URL,Latitude,Longitude
2014.MMP00013,2014.MMP00013,Incident,North America,29/01/2014,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.481483, -111.654933",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2016,5,,32.481483,-111.654933
2014.MMP00014,2014.MMP00014,Incident,North America,29/01/2014,2014,January,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.481683, -111.654933",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,,32.481683,-111.654933
2014.MMP00016,2014.MMP00016,Incident,Caribbean,30/01/2014,2014,January,1,,1,,,1,1,Caribbean,Drowning,Haiti,Caribbean to US,"Off the coast of Fort Lauderdale, Florida",Local10.com,"26.116, -80",Caribbean,"Boat with Haitian migrants washes up South Florida shore, 1 dead",1,http://bit.ly/1zU2LSq,26.116,-80
2014.MMP00019,2014.MMP00019,Incident,North America,11/02/2014,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.8054, -111.854867",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,,31.8054,-111.854867
2014.MMP00020,2014.MMP00020,Incident,North America,16/02/2014,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.992833, -111.385833",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,,31.992833,-111.385833
2014.MMP00021,2014.MMP00021,Incident,North America,16/02/2014,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.17305, -112.20211",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,,32.17305,-112.20211
2014.MMP00023,2014.MMP00023,Incident,North America,17/02/2014,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.00768, -112.1726",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,,32.00768,-112.1726
2014.MMP00024,2014.MMP00024,Incident,North America,18/02/2014,2014,February,1,,1,2,,1,,Central America,Violence,Mexico,US-Mexico border crossing,"California-Mexico border near San Diego, California, USA",CNN,"32.5543, -117",Northern America,"Border Patrol agent shoots, kills migrant who threw rocks",1,http://cnn.it/1jGgOUo,32.5543,-117
2014.MMP00025,2014.MMP00025,Incident,Caribbean,20/02/2014,2014,February,8,0,8,0,,,,Caribbean,Drowning,Haiti,Haiti to Dominican,Dominican,AP,"18.4505, -68",Caribbean,Capsizing death toll rises to 8 Haitians,1,http://bit.ly/1sWDTeE,18.4505,-68
2014.MMP00026,2014.MMP00026,Incident,North America,20/02/2014,2014,February,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.82214, -111.96383",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,,31.82214,-111.96383
2014.MMP00027,2014.MMP00027,Incident,North America,21/02/2014,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.08795, -112.58407",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5,,32.08795,-112.58407
2014.MMP00028,2014.MMP00028,Incident,North America,25/02/2014,2014,February,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.0885, -112.44956",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.0885,-112.44956
2014.MMP00032,2014.MMP00032,Incident,North America,04/03/2014,2014,March,1,,1,,1,,,Central America,Harsh Environment,Guatemala,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.759, -110.51916",Northern America,,5,http://humaneborders.info/,31.759,-110.51916
2014.MMP00036,2014.MMP00036,Incident,Central America,11/03/2014,2014,March,1,,1,,1,,1,South America,Violence,Ecuador,US-Mexico border crossing,"Río Bravo, Ciudad Juarez, Chihuahua, Mexico",New York Times ,"31.6904, -106.425",Central America,A 12-Year-Old’s Trek of Despair Ends in a Noose at the Border,1,http://nyti.ms/1k00Xlq,31.6904,-106.425
2014.MMP00039,2014.MMP00039,Incident,North America,13/03/2014,2014,March,1,,1,,,,,Central America,Mixed/ Unknown,El Salvador,US-Mexico border crossing,"King Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas","26.81120278, -97.74819915",Northern America,,5,,26.81120278,-97.74819915
2014.MMP00042,2014.MMP00042,Incident,North America,15/03/2014,2014,March,1,,1,,,,,Latin America / Caribbean (P),Harsh Environment,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.789033, -112.114583",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.789033,-112.114583
2014.MMP00043,2014.MMP00043,Incident,North America,15/03/2014,2014,March,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1386, -112.326",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.1386,-112.326
2014.MMP00047,2014.MMP00047,Incident,North America,23/03/2014,2014,March,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.558, -111.183",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.558,-111.183
2014.MMP00048,2014.MMP00048,Incident,North America,26/03/2014,2014,March,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.94755, -112.06415",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.94755,-112.06415
2014.MMP00049,2014.MMP00049,Incident,North America,26/03/2014,2014,March,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.85666, -111.62433",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.85666,-111.62433
2014.MMP00050,2014.MMP00050,Incident,Central America,26/03/2014,2014,March,1,,1,,1,,,Central America,Vehicular Accidents,Guatemala,,"Comitan, Chiapas, Mexico",El Siglo de Torreon,"16.2299602, -92",Central America,Hallan en Chiapas cuerpo de mujer migrante,1,http://bit.ly/1WIuqEs,16.2299602,-92
2014.MMP00051,2014.MMP00051,Incident,North America,30/03/2014,2014,March,1,,1,,1,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.688867, -111.862733",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.688867,-111.862733
2014.MMP00052,2014.MMP00052,Incident,North America,30/03/2014,2014,March,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.3085, -111.7528",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.3085,-111.7528
2014.MMP00053,2014.MMP00053,Incident,North America,30/03/2014,2014,March,1,,1,,,1,,Central America,Accidental Death,El Salvador,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Nogales International and Pima County Office of the Medical Examiner (PCOME),"31.33271, -110.93813",Northern America,Migrant dies after falling from border fence and Undocumented Border Crossers 01/01/2014-08/29/2018,5,http://bit.ly/1grVlvz,31.33271,-110.93813
2014.MMP00054,2014.MMP00054,Incident,North America,02/04/2014,2014,April,1,,1,,,1,,Central America,Mixed/ Unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.354017, -110.989383",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.354017,-110.989383
2014.MMP00057,2014.MMP00057,Incident,North America,10/04/2014,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.03171, -112.42503",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.03171,-112.42503
2014.MMP00058,2014.MMP00058,Incident,North America,10/04/2014,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.836217, -111.9419",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.836217,-111.9419
2014.MMP00059,2014.MMP00059,Incident,North America,14/04/2014,2014,April,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.12865, -111.330983",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.12865,-111.330983
2014.MMP00060,2014.MMP00060,Incident,North America,14/04/2014,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.178733, -112.5039",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.178733,-112.5039
2014.MMP00061,2014.MMP00061,Incident,North America,14/04/2014,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.09045, -112.246033",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.09045,-112.246033
2014.MMP00064,2014.MMP00064,Incident,Central America,17/04/2014,2014,April,4,,4,3,,,,Central America,Violence,"Honduras,Mexico",,"On la Bestia, near Arriaga, Chiapas, Mexico",Soy 502,"16.242196, -94",Central America,"Cuatro migrantes mueren en asalto al tren ""La Bestia"" en México",1,http://bit.ly/29FBuh6,16.242196,-94
2014.MMP00066,2014.MMP00066,Incident,North America,18/04/2014,2014,April,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1886, -113.0037",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.1886,-113.0037
2014.MMP00068,2014.MMP00068,Incident,North America,23/04/2014,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1833, -112.9961",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.1833,-112.9961
2014.MMP00070,2014.MMP00070,Incident,North America,27/04/2014,2014,April,1,,1,,,1,,Central America,Violence,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.99887, -110.862595",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.99887,-110.862595
2014.MMP00071,2014.MMP00071,Incident,North America,27/04/2014,2014,April,1,,1,,,1,,Central America,Harsh Environment,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.467633, -110.793333",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.467633,-110.793333
2014.MMP00073,2014.MMP00073,Incident,North America,30/04/2014,2014,April,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.59867, -111.43782",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.59867,-111.43782
2014.MMP00074,2014.MMP00074,Incident,Caribbean,01/05/2014,2014,May,6,3,9,16,,,,Caribbean,Drowning,Unknown,,"Dominican, near Boca Chica and Juan Dolio",Dominican Today,"18.3079, -70",Caribbean,"Search operation continues, 16 boatpeople rescued",1,http://bit.ly/1pGZg2g,18.3079,-70
2014.MMP00075,2014.MMP00075,Incident,North America,01/05/2014,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.58023, -111.79283",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.58023,-111.79283
2014.MMP00079,2014.MMP00079,Incident,North America,06/05/2014,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.12555, -112.868",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.12555,-112.868
2014.MMP00082,2014.MMP00082,Incident,North America,08/05/2014,2014,May,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.75233, -111.97016",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.75233,-111.97016
2014.MMP00085,2014.MMP00085,Incident,North America,10/05/2014,2014,May,1,,1,,,1,,Latin America / Caribbean (P),Violence,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.692369, -110.360473",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.692369,-110.360473
2014.MMP00087,2014.MMP00087,Incident,North America,13/05/2014,2014,May,1,,1,,,1,,Central America,Mixed/ Unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.95283, -112.34965",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.95283,-112.34965
2014.MMP00088,2014.MMP00088,Incident,North America,21/05/2014,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.61445, -111.68357",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.61445,-111.68357
2014.MMP00089,2014.MMP00089,Incident,North America,22/05/2014,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.46313, -111.6213",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.46313,-111.6213
2014.MMP00092,2014.MMP00092,Incident,North America,27/05/2014,2014,May,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.0667, -113.1525",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.0667,-113.1525
2014.MMP00093,2014.MMP00093,Incident,North America,28/05/2014,2014,May,1,,1,,,1,,Central America,Mixed/ Unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.34675, -109.4814",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.34675,-109.4814
2014.MMP00094,2014.MMP00094,Incident,North America,30/05/2014,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.437783, -111.636383",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.437783,-111.636383
2014.MMP00095,2014.MMP00095,Incident,North America,30/05/2014,2014,May,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.437983, -111.636383",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.437983,-111.636383
2014.MMP00097,2014.MMP00097,Incident,North America,01/06/2014,2014,June,1,,1,,,1,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.62445, -111.3423",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.62445,-111.3423
2014.MMP00098,2014.MMP00098,Incident,North America,03/06/2014,2014,June,1,,1,,,1,,Central America,Harsh Environment,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.334397, -110.96816",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.334397,-110.96816
2014.MMP00100,2014.MMP00100,Incident,North America,06/06/2014,2014,June,1,,1,,1,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.564183, -111.670617",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.564183,-111.670617
2014.MMP00103,2014.MMP00103,Incident,North America,09/06/2014,2014,June,1,,1,,,1,,Latin America / Caribbean (P),Harsh Environment,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.906667, -112.0059",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.906667,-112.0059
2014.MMP00104,2014.MMP00104,Incident,North America,09/06/2014,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.23316, -112.959966",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.23316,-112.959966
2014.MMP00105,2014.MMP00105,Incident,North America,10/06/2014,2014,June,1,,1,,,1,,Latin America / Caribbean (P),Harsh Environment,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.05, -112.9",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.05,-112.9
2014.MMP00106,2014.MMP00106,Incident,North America,10/06/2014,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.48843, -112.59816",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.48843,-112.59816
2014.MMP00107,2014.MMP00107,Incident,North America,12/06/2014,2014,June,1,,1,,1,,,Latin America / Caribbean (P),Harsh Environment,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.778767, -111.396767",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.778767,-111.396767
2014.MMP00108,2014.MMP00108,Incident,North America,12/06/2014,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.833333, -113.75",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,32.833333,-113.75
2014.MMP00109,2014.MMP00109,Incident,North America,12/06/2014,2014,June,1,,1,,,,,Latin America / Caribbean (P),Mixed/ Unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.914994, -111.875669",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5,,31.914994,-111.875669
